id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
1;1;5.0;-1.0;5.67;0;6.14;15.0;6.14
2;1;15.0;6.14;6.14;5;11.39;25.0;11.39
3;1;25.0;11.39;11.39;11;22.29;45.0;22.29
4;2;5.0;-1.0;-1.0;-1;-1.0;15.0;6.32
5;2;15.0;6.32;6.87;4;11.6;25.0;11.6
6;2;25.0;11.6;11.6;10;22.52;45.0;22.52
7;3;5.0;-1.0;5.86;1;6.6;15.0;6.6
8;3;15.0;6.6;6.6;5;11.92;25.0;11.92
9;3;25.0;11.92;11.92;10;23.28;45.0;23.28
10;4;5.0;-1.0;-1.0;-1;-1.0;15.0;6.31
11;4;15.0;6.31;6.47;5;11.93;25.0;11.93
12;4;25.0;11.93;11.93;10;23.47;45.0;23.47
13;4;55.0;28.92;32.33;3;35.33;65.0;35.33
14;4;65.0;35.33;35.33;5;41.47;75.0;41.47
15;4;75.0;41.47;41.47;11;54.6;95.0;54.6
16;5;5.0;-1.0;5.28;1;6.43;15.0;6.43
17;5;15.0;6.43;6.43;5;11.73;25.0;11.73
18;5;25.0;11.73;11.73;10;22.91;45.0;22.91
19;5;55.0;27.57;29.07;4;33.65;65.0;33.65
20;5;65.0;33.65;33.65;5;39.37;75.0;39.37
21;5;75.0;39.37;39.37;10;51.29;95.0;51.29
22;6;5.0;-1.0;5.23;1;6.33;15.0;6.33
23;6;15.0;6.33;6.33;5;11.68;25.0;11.68
24;6;25.0;11.68;11.68;10;22.87;45.0;22.87
25;6;55.0;27.95;29.12;4;34.03;65.0;34.03
26;6;65.0;34.03;34.03;5;40.02;75.0;40.02
27;6;75.0;40.02;40.02;9;52.55;95.0;52.55
28;7;5.0;-1.0;4.69;1;6.14;15.0;6.14
29;7;15.0;6.14;6.14;5;11.64;25.0;11.64
30;7;25.0;11.64;11.64;10;23.0;45.0;23.0
31;7;55.0;27.92;29.56;4;34.04;65.0;34.04
32;7;65.0;34.04;34.04;5;39.9;75.0;39.9
33;7;75.0;39.9;39.9;9;52.0;95.0;52.0
34;8;5.0;-1.0;4.87;2;6.36;15.0;6.36
35;8;15.0;6.36;6.36;5;11.88;25.0;11.88
36;8;25.0;11.88;11.88;10;23.46;45.0;23.46
37;8;55.0;28.48;29.86;4;34.6;65.0;34.6
38;8;65.0;34.6;34.6;5;40.46;75.0;40.46
39;8;75.0;40.46;40.46;10;52.38;95.0;52.38
40;9;5.0;-1.0;6.09;1;6.77;15.0;6.77
41;9;15.0;6.77;6.77;5;13.23;25.0;13.23
42;9;25.0;13.23;13.23;10;25.77;45.0;25.77
43;9;55.0;31.33;35.18;2;38.17;65.0;38.17
44;9;65.0;38.17;38.17;6;44.87;75.0;44.87
45;9;75.0;44.87;44.87;12;58.31;95.0;58.31
46;10;5.0;-1.0;-1.0;-1;-1.0;15.0;6.56
47;10;15.0;6.56;7.06;4;12.88;25.0;12.88
48;10;25.0;12.88;12.88;9;25.5;45.0;25.5
49;10;55.0;30.84;35.24;2;37.94;65.0;37.94
50;10;65.0;37.94;37.94;5;44.42;75.0;44.42
51;10;75.0;44.42;44.42;11;58.16;95.0;58.16
52;11;5.0;-1.0;4.61;3;6.46;15.0;6.46
53;11;15.0;6.46;6.46;8;12.08;25.0;12.08
54;11;25.0;12.08;12.08;16;23.76;45.0;23.76
55;11;55.0;28.46;30.18;14;40.54;75.0;40.54
56;11;75.0;40.54;40.54;15;52.5;95.0;52.5
57;11;105.0;57.46;58.77;14;69.48;125.0;69.48
58;11;125.0;69.48;69.48;16;81.58;145.0;81.58
59;11;155.0;86.4;87.87;14;98.49;175.0;98.49
60;11;175.0;98.49;98.49;16;110.94;195.0;110.94
61;11;205.0;115.74;117.2;14;127.68;225.0;127.68
62;11;225.0;127.68;127.68;15;139.82;245.0;139.82
63;11;255.0;144.69;146.38;13;156.66;275.0;156.66
64;11;275.0;156.66;156.66;15;168.94;295.0;168.94
65;11;305.0;174.02;175.41;14;186.14;325.0;186.14
66;11;325.0;186.14;186.14;16;198.41;345.0;198.41
67;11;355.0;203.34;204.6;15;215.38;375.0;215.38
68;11;375.0;215.38;215.38;18;227.74;395.0;227.74
69;12;5.0;-1.0;5.93;0;6.13;15.0;6.13
70;12;15.0;6.13;6.13;5;11.25;25.0;11.25
71;12;25.0;11.25;11.25;10;21.77;45.0;21.77
72;13;5.0;-1.0;5.6;1;6.12;15.0;6.12
73;13;15.0;6.12;6.12;6;11.38;25.0;11.38
74;13;25.0;11.38;11.38;11;22.3;45.0;22.3
75;14;5.0;-1.0;-1.0;-1;-1.0;15.0;6.35
76;14;15.0;6.35;6.7;5;11.61;25.0;11.61
77;14;25.0;11.61;11.61;10;22.58;45.0;22.58
78;15;5.0;-1.0;-1.0;-1;-1.0;15.0;6.38
79;15;15.0;6.38;6.91;4;12.18;25.0;12.18
80;15;25.0;12.18;12.18;10;24.25;45.0;24.25
81;15;55.0;29.2;33.37;2;35.5;65.0;35.5
82;15;65.0;35.5;35.5;5;41.67;75.0;41.67
83;15;75.0;41.67;41.67;11;54.38;95.0;54.38
84;16;5.0;-1.0;5.82;1;6.46;15.0;6.46
85;16;15.0;6.46;6.46;4;11.9;25.0;11.9
86;16;25.0;11.9;11.9;9;23.04;45.0;23.04
87;16;55.0;27.7;29.72;3;33.68;65.0;33.68
88;16;65.0;33.68;33.68;4;39.4;75.0;39.4
89;16;75.0;39.4;39.4;9;51.24;95.0;51.24
90;17;5.0;-1.0;4.38;2;5.98;15.0;5.98
91;17;15.0;5.98;5.98;5;11.39;25.0;11.39
92;17;25.0;11.39;11.39;10;22.53;45.0;22.53
93;17;55.0;27.31;28.47;4;33.21;65.0;33.21
